Vendor ID,Vendor Name,Display Name,First Name,Last Name,Created Time,Company Name,Currency Code,Status,Last Modified Time,Vendor Number
9465000004082657,HAMID MIZANIAN,HAMID MIZANIAN,,,2024-10-02 12:47:57,,SAR,Active,2024-10-02 12:48:51,VEN-00063
9465000004542648,SINORA FOOD INDUSTRIES COMPANY,SINORA FOOD INDUSTRIES COMPANY,,,2024-10-12 15:47:44,,SAR,Active,2025-02-06 09:04:09,VEN-00065
9465000005053374,KHALEEL(GHD)PURCHASE,KHALEEL(GHD)PURCHASE,,,2024-10-27 11:11:37,,SAR,Active,2024-10-27 11:11:37,VEN-00068
9465000005107103,SAFA AL BAHAR TRADING CO.,SAFA AL BAHAR TRADING CO.,,,2024-10-28 09:43:51,,SAR,Active,2024-10-28 09:45:04,VEN-00069
9465000005342467,MADA SUPERMARKET (VENDR),MADA SUPERMARKET (VENDR),,,2024-11-06 12:22:56,,SAR,Active,2025-02-10 11:15:02,VEN-00070
9465000006692107,VIJAY MASALAS AND FOODS PRODUCTS,VIJAY MASALAS AND FOODS PRODUCTS,,,2024-12-07 08:59:26,,SAR,Active,2025-02-06 09:03:12,VEN-00077
9465000006698214,MAYAR JEDDAH TRADING CO.,MAYAR JEDDAH TRADING CO.,,,2024-12-07 10:51:30,,SAR,Active,2024-12-07 10:54:47,VEN-00080
9465000006721058,KHAYRAT AL-BILAD PACKAGING CO.,KHAYRAT AL-BILAD PACKAGING CO.,,,2024-12-10 11:02:07,,SAR,Active,2024-12-10 11:35:13,VEN-00083
9465000006821441,ASWAQ BSHYYAH,ASWAQ BSHYYAH,,,2024-12-18 10:25:28,,SAR,Active,2024-12-18 10:26:28,VEN-00084
9465000007043265,AL RAFADA AL ARABIA TRADING CO.,AL RAFADA AL ARABIA TRADING CO.,,,2024-12-24 12:45:14,,SAR,Active,2024-12-24 12:46:14,VEN-00088
9465000007768520,MAHASIL AL-KAYR AL TIJARIYYAH LTD,MAHASIL AL-KAYR AL TIJARIYYAH LTD,,,2025-01-11 09:40:06,,SAR,Active,2025-01-11 09:41:55,VEN-00091
9465000008626668,GHADEER KHALID ABDULAZIZ AL HASAWI TRD EST,GHADEER KHALID ABDULAZIZ AL HASAWI TRD EST,,,2025-01-25 14:55:48,,SAR,Active,2025-04-12 05:40:30,VEN-00096
9465000000144556,ROMA TRADING GROUP,ROMA TRADING GROUP,,,2024-08-05 09:42:46,,SAR,Active,2025-04-29 10:22:02,VEN-00002
9465000000160083,BAYADER FOOD CO.,BAYADER FOOD CO.,,,2024-08-05 13:09:28,BAYADER FOOD CO.,SAR,Active,2025-04-29 10:21:57,VEN-000056
9465000000160709,EAGLE OF THE EAST TRADING COMPANY,EAGLE OF THE EAST TRADING COMPANY,,,2024-08-05 14:13:39,EAGLE OF THE EAST TRADING COMPANY,SAR,Active,2025-04-29 10:22:00,VEN-00005
9465000000193271,HAMED AL GHAMDI PARTNRSHP CO.,HAMED AL GHAMDI PARTNRSHP CO.,,,2024-08-05 19:17:44,,SAR,Active,2025-04-29 10:22:02,VEN-00019
9465000000376760,AL FARIS AL ARABI TRADING CO.LTD,AL FARIS AL ARABI TRADING CO.LTD,,,2024-08-07 13:12:50,,SAR,Active,2025-04-29 10:22:06,VEN-00039
9465000000333828,OPENING BALANCE,OPENING BALANCE,,,2024-08-06 11:37:05,,SAR,Active,2025-04-29 10:22:06,VEN-00024
9465000000348747,SHAFLOUT TRADING CO.LTD(MADA),SHAFLOUT TRADING CO.LTD(MADA),,,2024-08-06 17:44:16,,SAR,Active,2025-04-29 10:22:04,VEN-00029
9465000000353257,SAID BAWAZIR TRD .CO. (SBTC),SAID BAWAZIR TRD .CO. (SBTC),,,2024-08-06 18:41:02,,SAR,Active,2025-04-29 10:21:58,VEN-00034
9465000001061321,NAZEER AHMED GHULAM&PARTNER TRD. CO. LTD (MEHRAN),NAZEER AHMED GHULAM&PARTNER TRD. CO. LTD (MEHRAN),,,2024-08-11 19:37:59,,SAR,Active,2025-04-29 10:21:55,VEN-00046
9465000003116127,شركة مجموعة بافرط للصناعة (RANA),شركة مجموعة بافرط للصناعة (RANA),,,2024-08-28 09:50:52,,SAR,Active,2025-04-29 10:22:01,VEN-00052
9465000003283619,TALAL TRADING CO.,TALAL TRADING CO.,,,2024-09-05 10:20:31,TALAL TRADING CO.,SAR,Active,2025-04-29 10:22:05,VEN-00057
9465000004529194,NABEEL MODERN COLD STORE TRDING CO.,NABEEL MODERN COLD STORE TRDING CO.,,,2024-10-10 18:19:12,,SAR,Active,2025-04-29 10:21:57,VEN-00064
9465000006167931,NAJD ALMAJD COMPANY LMTD,NAJD ALMAJD COMPANY LMTD,,,2024-11-23 09:24:38,,SAR,Active,2025-04-29 10:21:55,VEN-00073
9465000006696251,BANIYAS SPIKE TRADING CO.L.L.C,BANIYAS SPIKE TRADING CO.L.L.C,,,2024-12-07 09:55:21,,SAR,Active,2025-04-29 10:22:05,VEN-00078
9465000006826790,TARIQ ABDULLAH SALEH ALHOWAISH TRADING EST.,TARIQ ABDULLAH SALEH ALHOWAISH TRADING EST.,,,2024-12-18 16:23:40,,SAR,Active,2025-04-29 10:21:59,VEN-00085
9465000007215843,SAFA MARKET,SAFA MARKET,,,2025-01-04 15:00:38,,SAR,Active,2025-04-29 10:21:58,VEN-00090
9465000008476539,FAJR AL RAQIYA TRADING COMPANY,FAJR AL RAQIYA TRADING COMPANY,,,2025-01-25 11:27:03,,SAR,Active,2025-04-29 10:22:05,VEN-00095
9465000009752169,ABDULLAH AHMED ALI RADWAN EST.,ABDULLAH AHMED ALI RADWAN EST.,,,2025-02-15 19:42:38,,SAR,Active,2025-04-29 10:22:04,VEN-00100
9465000010162955,REHAM FOOD TRADING L.L.C,REHAM FOOD TRADING L.L.C,,,2025-02-24 14:28:39,,SAR,Active,2025-04-29 10:22:03,VEN-00104
9465000011268443,BATAHAF,BATAHAF,,,2025-03-08 17:00:07,,SAR,Active,2025-04-29 10:22:05,VEN-00108
9465000013626686,AL-SHURQ FOOD CO.,AL-SHURQ FOOD CO.,,,2025-04-15 15:42:26,,SAR,Active,2025-04-29 10:21:57,VEN-00115
9465000013932735,SANAD AL JUNOOB TRADING EST.,SANAD AL JUNOOB TRADING EST.,,,2025-04-26 15:51:03,,SAR,Active,2025-04-29 10:22:00,VEN-00117
9465000000116604,AAA,AAA,,,2024-08-03 09:50:10,,SAR,Active,2025-04-29 10:21:57,VEN-00001
9465000000160001,BASONBUL,BASONBUL,,,2024-08-05 13:01:54,SANABEL AL-HASSAD TRADING COMPANY,SAR,Active,2025-04-29 10:22:01,VEN-000055
9465000000160566,FAZCO TRADING COMPANY LTD.,FAZCO TRADING COMPANY LTD.,,,2024-08-05 13:57:23,FAZCO TRADING COMPANY LTD.,SAR,Active,2025-04-29 10:22:04,VEN-000059
9465000000191746,AL TATWEER AL MUTHALI INTERNATIONAL TRADING CO.,AL TATWEER AL MUTHALI INTERNATIONAL TRADING CO.,,,2024-08-05 18:33:50,,SAR,Active,2025-04-29 10:22:04,VEN-00017
9465000000328849,SARYA INVESTMENT COMPANY,SARYA INVESTMENT COMPANY,,,2024-08-06 10:19:21,,SAR,Active,2025-04-29 10:21:57,VEN-00023
9465000000399533,ASIA MINI MARKET RAWDA,ASIA MINI MARKET RAWDA,,,2024-08-07 19:35:57,,SAR,Active,2025-04-29 10:22:04,VEN-00042
9465000000348596,MIZANIAN TRADING &MARKETING,MIZANIAN TRADING &MARKETING,,,2024-08-06 17:29:10,,SAR,Active,2025-04-29 10:22:01,VEN-00028
9465000000353132,SAFA ALWAJH TRADING CO.,SAFA ALWAJH TRADING CO.,,,2024-08-06 18:35:48,,SAR,Active,2025-04-29 10:21:58,VEN-00033
9465000001033606,OMANI GULF FOOD COMPANY L.L.C,OMANI GULF FOOD COMPANY L.L.C,,,2024-08-11 15:35:52,,SAR,Active,2025-04-29 10:21:57,VEN-00045
9465000003111965,GAZEEL CONTRACTING,GAZEEL CONTRACTING,,,2024-08-28 09:37:07,,SAR,Active,2025-04-29 10:22:05,VEN-00051
9465000003194321,FAIZAH TRADING  COMPANY,FAIZAH TRADING  COMPANY,,,2024-09-03 08:51:17,,SAR,Active,2025-04-29 10:21:58,VEN-00055
9465000003633889,SILENT VALLEY TRADING EST.,SILENT VALLEY TRADING EST.,,,2024-09-18 17:35:49,,SAR,Active,2025-04-29 10:22:04,VEN-00062
9465000006150431,TRANS ARABIAN TRAD CO.,TRANS ARABIAN TRAD CO.,,,2024-11-22 13:44:07,,SAR,Active,2025-04-29 10:22:01,VEN-00072
9465000006339594,SEB-4338,SEB-4338,,,2024-12-01 13:38:43,,SAR,Active,2025-04-29 10:21:56,VEN-00075
9465000006721001,AL ALAMYAH,AL ALAMYAH,,,2024-12-10 10:59:56,,SAR,Active,2025-04-29 10:22:03,VEN-00082
9465000007057466,BARAKA TAIBAH TRADING CO.,BARAKA TAIBAH TRADING CO.,,,2024-12-25 11:29:01,,SAR,Active,2025-04-29 10:22:04,VEN-00089
9465000007963742,SEB/GHADEER PURCHASES,SEB/GHADEER PURCHASES,,,2025-01-17 11:10:47,,SAR,Active,2025-04-29 10:22:04,VEN-00094
9465000009745970,WUSOOL AL ARBIA TRADING CO.,WUSOOL AL ARBIA TRADING CO.,,,2025-02-15 19:34:41,,SAR,Active,2025-04-29 10:22:02,VEN-00099
9465000010162304,MENATECK TRADING COMPANY,MENATECK TRADING COMPANY,,,2025-02-24 11:35:26,,SAR,Active,2025-04-29 10:21:47,VEN-00103
9465000010933972,SHARAFIYA TRADING FOR FOOD STUFF,SHARAFIYA TRADING FOR FOOD STUFF,,,2025-03-03 11:04:20,,SAR,Active,2025-04-29 10:22:01,VEN-00107
9465000013248536,SAFIA AL DAHABI TRADING EST,SAFIA AL DAHABI TRADING EST,,,2025-04-07 13:47:33,,SAR,Active,2025-04-29 10:22:01,VEN-00112
9465000013803665,MAS EXECUTIVE TRADING CO.,MAS EXECUTIVE TRADING CO.,,,2025-04-21 10:07:47,,SAR,Active,2025-04-29 10:22:01,VEN-00116
9465000000158642,AL RAQEEB UNIVERSAL GROUP,AL RAQEEB UNIVERSAL GROUP,,,2024-08-05 14:18:22,,SAR,Active,2025-04-29 10:22:01,VEN-00006
9465000000160209,ZAD AL KHAIR AL RAIEDA TRADING CO.,ZAD AL KHAIR AL RAIEDA TRADING CO.,,,2024-08-05 13:22:40,ZAD AL KHAIR AL RAIEDA TRADING CO.,SAR,Active,2025-04-29 10:22:04,VEN-000058
9465000000162060,OASES TRADING COMPANY,OASES TRADING COMPANY,,,2024-08-05 15:54:00,,SAR,Active,2025-04-29 10:22:06,VEN-00013
